CompanyID,CompanyName,CompanyType,Address,Address2,City,State,Country,Postal_Code,URL,Phone,TollFree_Phone
EZ0M04,Textron,Service Provider,7015 Rock Maple St.,,Monroe,MI,United States,98226,https://www.example.com/?apparel=bells,3607523310,
A2OVVU,Microsoft,,87 Lyme Street,,Reminderville,OH,United States,68512,https://example.com/#believe,4024370054,8774467163
XDIN8H,Dean Foods,Distributor,8347 Lilac Drive,,Coram,NY,United States,29033-1805,http://blow.example.com/?book=bag,8037917763,8007637763
HSUWQ8,Tenneco,Service Provider,9 SW. Dogwood St.,,Montrose,PA,United States,22031-3403,https://www.example.com/board/blade,7033851335,8883853588
ID2QR5,Principal Financial,Service Provider,494 N. Delaware St.,Ste. 110,Boaz,WV,United States,92612,https://www.example.org/,9493406665,
PS20OX,News Corp.,Manufacturer,372 East Clinton Court,Ventanilla,Connelly Springs,,Peru,Callao 06,https://believe.example.net/bone.php?birth=back#apparel,5116134242,
FFX3CW,Fortive,Manufacturer/Distributor,3 Belmont Lane,,Salem,WV,United States,94085,http://apparel.example.edu/belief?bottle=act&ball=argument,4087446710,
9VBO6O,Ally Financial,Manufacturer/Distributor,9670 Clinton Street,,McCamey,TX,United States,90248,https://example.com/,3103270011,
WS4T8X,Mastercard,,8655 Broad Ave.,Ste. A227,Centerville,IN,United States,91910,https://www.example.com/,6195911084,8007774510
596EQ0,Phillips 66,Manufacturer/Distributor,230 Harvard Street,2220 Anthony Road,Turpin Hills,OH,United States,27216-2720,http://approval.example.org/,3362260237,8003341101
56DTQA,Broadcom,,8654 Kent Street,,Hooks,TX,United States,40505,https://www.example.com/#bait,8666737645,
BY2GLE,Bed Bath & Beyond,,8953 Squaw Creek Dr.01,Ste. 200A,The Dalles,OR,United States,75001,https://www.example.com/animal.htm,2146313000,
0WXWZP,Anadarko Petroleum,Manufacturer,480 Sunnyslope Dr.,,Laurinburg,NC,United States,02893-7526,https://achiever.example.edu/board?behavior=boat,8777577978,8777577978
TYASS3,USAA,Distributor,8640A Wentworth St.,Ste. 1,Westfield,NY,United States,45103,http://example.com/army,5134075399,8003141622
WYSAUF,Icahn Enterprises,Distributor,804 S. Prairie St.,,Bloomfield,NM,United States,34203,https://www.example.com/branch.aspx,9417551696,
D1T71U,J.B. Hunt Transport Services,Manufacturer,111 Harrison Court,Ste. 2,Destin,FL,United States,55121,https://www.example.net/?alarm=account,6516865027,8887174466
4BZZQQ,Walt Disney,,46 South Halifax Drive,,Enid,OK,United States,90011,https://www.example.net/,2139053205,
9FN7L6,ADP,Manufacturer,759 Lookout Lane,,South Haven,MI,United States,97477,https://www.example.org/badge,5416871818,8005458686
NZ8ZYT,Xcel Energy,Manufacturer/Distributor,5 Chapel Lane,Ste. 200,Mystic Island,NJ,United States,30093,http://www.example.com/baby,7708179410,
64K8GK,INTL FCStone,Manufacturer,33 Cross St.,,Lamar,AR,United States,92627,https://example.com/?apparatus=belief,18776460999,
HP12HI,Allstate,Manufacturer/Distributor,1 SE. Shady Court,,Factoryville,PA,United States,33178,http://www.example.com/?approval=bone,3054184421,
O5RCN9,Southern,Manufacturer,79 Clinton Dr.,4F,Tigard,,Japan,105-0004,https://example.com/,81355371585,
ERXPB8,HD Supply Holdings,Manufacturer/Distributor,7670 John St.,,Milaca,MN,United States,55340,https://acoustics.example.net/,9529122500,
87B0V0,Arconic,Manufacturer/Distributor,37 Lancaster Ave.,798 Market St.,Lawrence,KS,United States,37321-0338,https://example.com/,4237758344,8002517286
L4U579,Freeport-McMoRan,Manufacturer,286 Shore Drive,,Tri-Lakes,IN,United States,77093,http://www.example.net/ball.htm#baseball,7136999896,
4L5QFC,Olin,Manufacturer,710 South Mayflower Court,,Willcox,AZ,United States,92618,http://example.com/,9497272100,8005422307
4JC6FM,Steel Dynamics,,8927 Nicolls Drive,,Center,ND,United States,92805,http://www.example.com/acoustics.php,7149359130,8002724381
AA1SBQ,Apple,Manufacturer/Distributor,827 Spring Court,,Bangs,TX,United States,98682,https://www.example.org/?addition=brick,8776748669,
Z9W8Y1,A-Mark Precious Metals,,245 South Spring Ave.,,Holiday Shores,IL,United States,33971,http://www.example.com/,2397858999,
JB95HF,DISH Network,Manufacturer,7969 Philmont St.,,Kensington,MD,United States,60062,https://www.example.com/arch/addition.php,8477140404,
VARVT1,Avis Budget Group,Manufacturer,1 Maple Ave.,,Luverne,MN,United States,11779,https://www.example.com/,6315859446,8006455195
3DST06,Yum China Holdings,Manufacturer,8880 Stillwater St.,,Patterson,CA,United States,11788,http://example.net/?bridge=acoustics,8667692517,8667692517
3NYBP2,American Airlines Group,Manufacturer/Distributor,285 Atlantic Street,Bldg. 3A,Springfield,OH,United States,7026,http://blood.example.edu/badge/bear.php,9737670880,
YRDJKI,Air Products & Chemicals,Manufacturer,634 Old Cemetery Court,,Matamoras,PA,United States,44663,http://example.com/blow/aftermath,8772992914,
MC7CX6,DaVita,,8831 San Carlos Dr.,,Hobbs,NM,Canada,R3H 0H7,https://agreement.example.com/,2049420091,
5GJLFW,Williams,Manufacturer,754 Cardinal Ave.,,Wray,CO,United States,79077-0767,https://www.example.com/#book,8062562033,
72REGU,Genworth Financial,Manufacturer,12 Sussex Dr.,,Danville,KY,United States,19114,https://addition.example.com/,8005238888,8005238888
EHRYCM,Mohawk Industries,,81 E. Golden Star St.,,Silver Lake,FL,United States,92677,http://box.example.com/bead,9494957917,
D3M21K,eBay,Distributor,14 Columbia St.,,Hidden Hills,CA,United States,14217,http://example.com/bed/arch?balance=amusement&boundary=bait,7168769105,8008009983
7JACUD,Unum Group,,9013 Chapel Street,,Lonsdale,MN,United States,4765-909,http://example.com/brick/brother.html,351252980500,
KGTR7M,Estee Lauder,Distributor,9497 W. Military Drive,3rd Fl.,Navarre,FL,United States,60440,http://www.example.com/#army,8005232155,8005232155
3XV3EP,CSX,Manufacturer/Distributor,9339 Church Dr.,Ste. 130,Eagle Lake,MN,United States,98029,http://example.com/?air=berry,2067273200,8004266399
3V1IEZ,Fifth Third Bancorp,Manufacturer/Distributor,773 West Arlington Ave.,,Lilburn,GA,United States,77586,https://www.example.com/,2813265362,8777277410
0M04A2,Publix Super Markets,,7763 Clark Dr.,,Inverness,IL,United States,98107,https://air.example.com/approval/bubble,2066322866,
OVVUXD,Peabody Energy,Manufacturer,29 Sunset Lane,,Beltsville,MD,United States,92154,http://www.example.com/,6196629715,8667836489
IN8HHS,Arthur J. Gallagher,Manufacturer,9013 W. 53rd Ave.,,Floral Park,NY,United States,29466,https://www.example.com/,8438841575,8662903812
UWQ8ID,Caterpillar,Service Provider,965 South Summerhouse Court,,Mission,OR,United States,78701,https://www.example.net/birds/animal?boy=border,5128078222,
2QR5PS,United States Steel,,302 Sunset Ave.,,D'Iberville,MS,United States,60008,https://advertisement.example.com/amount.aspx#blow,8478707400,8003727737
20OXFF,Qurate Retail,Manufacturer,77 Wellington St.,,Ensley,FL,United States,92649,http://board.example.com/act.php,7148914185,18774000111
X3CW9V,Zimmer Biomet Holdings,Service Provider,53 Spruce Dr.,,Mount Sterling,IL,United States,22031-3489,https://www.example.com/bedroom/boundary,7033851335,8883853588
BO6OWS,Danaher,Manufacturer,9443 West White Ave.,,Meridian,CO,United States,55406,http://example.net/,6127297365,8002214079
4T8X59,Northern Trust,,99 Rocky River Street,,Shortsville,NY,United States,60008,https://www.example.net/beginner,8478707400,
6EQ056,Jones Lang LaSalle,,96 Fairfield Avenue,,Clinton,UT,United States,90250,http://www.example.org/adjustment.php?amusement=base&amount=breath,4246753300,
DTQABY,Sempra Energy,,8620 E. Brown St.,,Harbor Beach,MI,United States,37214,https://www.example.com/,6155655000,
2GLE0W,Baxter International,,834 Beach St.,,Roanoke,VA,United States,46628,http://example.com/bird,,
XWZPTY,Union Pacific,Manufacturer/Distributor,242 South Crescent St.,Bldg. A,Upper Falls,WV,United States,30092,https://www.example.com/#apparel,7706677717,
ASS3WY,Assurant,Manufacturer,9213 Indian Spring Road,,Milford Mill,MD,United States,85023,http://www.example.edu/boy,6024390600,18886371737
SAUFD1,Biogen,,8487 Hartford Avenue,,Strawberry Point,IA,United States,91733,http://www.example.net/babies/belief?acoustics=anger#book,6265752488,
T71U4B,Best Buy,Manufacturer/Distributor,9309 South River St.,,Lacombe,LA,United States,75098,http://www.example.com/,9724610700,
ZZQQ9F,XPO Logistics,Manufacturer/Distributor,187 Sheffield Street,,Baxley,GA,United States,30083,http://www.example.com/?base=battle,4046343000,8005449096
N7L6NZ,Asbury Automotive Group,Manufacturer/Distributor,2 Longbranch St.,,Levittown,NY,United States,15102,http://www.example.com/,8444264657,
8ZYT64,Whirlpool,Service Provider,8692 Front Ave.,Ste. 575,Muniz,TX,United States,92656,http://www.example.com/?approval=blade&belief=badge,9496008868,18887185051
K8GKHP,Interpublic Group,,7815 Van Dyke Dr.,,Dayton,KY,United States,7719,https://addition.example.com/bird/birth.php,7322821448,7322821448
12HIO5,KeyCorp,Manufacturer/Distributor,742 Arcadia St.,,New Fairview,TX,United States,97230-7416,http://example.com/arithmetic.aspx,5036618693,8002344890
RCN9ER,Jabil,Manufacturer/Distributor,15 Riverview Ave.,,Bel-Nor,MO,United States,98274,http://www.example.com/#bag,3607572102,8005743477
XPB887,HollyFrontier,Distributor,567 Eagle Avenue,Ste. 140,Antelope Valley-Crestview,WY,United States,29588,https://alarm.example.com/brass,8432157000,
B0V0L4,Alphabet,Distributor,48 Wayne Dr.,,Mission,OR,United States,70806,http://www.example.com/box/action?base=bee&act=bikes,2259255789,8008247578
U5794L,Raytheon,Distributor,954 Bear Hill Rd.,,D'Iberville,MS,United States,30010,http://attraction.example.com/,7704099503,8776577500
5QFC4J,Eversource Energy,,98 Summit St.,Ste. 100,Ensley,FL,United States,36606,https://example.com/,2514736502,
C6FMAA,Mondelez International,,7635 S. Golden Star Street,,Mount Sterling,IL,United States,35811,https://www.example.com/apparatus,2568510827,2564299900
1SBQZ9,Huntsman,Manufacturer/Distributor,8405 W. White Ave.,Ste. 500,Meridian,CO,United States,55316,http://www.example.org/,7632313040,8888280653
W8Y1JB,HCA Healthcare,Distributor,66 Plymouth Street,Ste. A,Shortsville,NY,United States,27101-2529,http://example.com/bear#branch,3367222500,8005979530
95HFVA,Hanesbrands,Service Provider,84 Hall Street,,Clinton,UT,United States,37341,http://www.example.com/,4233444080,
RVT13D,Navistar International,,59 Euclid Rd.,,Harbor Beach,MI,United States,21632,http://www.example.com/bat,8009229253,
ST063N,MetLife,,758 Baker St.,,Roanoke,VA,United States,266109,http://www.example.com/,865328796,
YBP2YR,Molina Healthcare,,8162 West Manor Station Drive,,Upper Falls,WV,United States,85254,https://www.example.com/boat,6023634674,
DJKIMC,Cisco Systems,Service Provider,76 N. Birchwood Street,Ste. 8190,Milford Mill,MD,United States,19703,http://bear.example.com/act.html?book=bells,2065529026,
7CX65G,Laboratory Corp. of America,Manufacturer,9045 West Fulton Rd.,Ojung-GU,Strawberry Point,,"Korea, Republic of",421-814,https://www.example.com/,82326846088,
JLFW72,Harley-Davidson,,9358 Cemetery Court,Ste. 431,Lacombe,LA,United States,19720,https://www.example.com/,2137886748,
REGUEH,CDW,Service Provider,84 College Ave.,,Baxley,GA,United States,95219,https://example.com/,2099316093,
RYCMD3,Aramark,,178 Lantern Dr.,"Xingyao Building, #2008",Levittown,NY,United States,310051,http://www.example.com/,8657185812777,
M21K7J,Western Union,Distributor,8270 East Thomas Street,,Muniz,TX,United States,63132,https://example.com/?afternoon=blow&ants=brick,6367246400,18777246400
ACUDKG,Darden Restaurants,,80 Peg Shop St.,,Dayton,KY,United States,90040,https://www.example.com/#apparel,3235166771,
