CompanyID,Company_Name,Company_Type,Address,Address2,City,State,Postal_Code,Country,URL,Phone,TollFree_Phone,Company Created Date,Company Modify Date,Portal Update Date
282778,A.W.T. World Trade Inc.,Manufacturer/Distributor,4321 N. Knox Ave.,,Chicago,IL,60641-1906,United States,www.awt-gpi.com,7737777100,,4/9/2007,1/28/2019,7/14/2017
773676,A&E Robison-Anton Embroidery Threads,Manufacturer/Distributor,24 American St.,,Mount Holly,NC,28120,United States,www.amefiRoadcom,7049512996,8008473235,6/21/2016,1/28/2019,8/13/2018
197895,A+ Career Apparel,Manufacturer/Distributor,838 Mitten Road,,Burlingame,CA,94010,United States,www.apluscareerapparel.com,6507774500,8776327587,9/26/2005,3/4/2019,6/21/2019
848406,A+ School Apparel,,401 Knoss Ave.,,Star City,AR,71667,United States,schoolapparel.com,8002273215,,6/19/2018,6/19/2018,
599421,A4,Manufacturer/Distributor,6199 Malburg Way,,Vernon,CA,90058,United States,www.a4.com,3235850550,,1/14/2010,4/10/2018,8/12/2016
763622,AA Apparel & Embroidery dba Lighthouse Promotions,,349 Glynn St. N.,,Fayetteville,GA,30214,United States,http://www.lighthouse-promo.com,7704619345,,11/19/2015,2/9/2017,
599423,AA Screen Printing Supplier,,1087 S. Marietta Pkwy. SE,,Marietta,GA,30060,United States,www.aasps.com,6785815559,,1/14/2010,10/30/2016,
62388,ABC Embroidered Accessories Inc.,,P.O. Box  11039,,CHANDLER,AZ,85248,United States,www.abclace.com,4805450777,8005458625,7/29/2004,,7/10/2013
85905,ABC Office,,1142 West Flint Meadow Drive,,Kaysville,UT,84037,United States,www.abcoffice.com,8019273020,8006588788,2/17/2005,11/29/2018,
75583,"Abel Safety Products, Acadia Raingear & Plastex Protective Products",,30 Robert W Boyden Road,,Taunton,MA,2780,United States,www.abelproducts.com,5088845030,8002097246,2/1/2005,9/22/2010,8/15/2011
848415,Access Group Processing / AGP,,1901 Tiltons Corner Road,,Wall,NJ,7719,United States,accessgroupprocessing.com,8008090719,,6/19/2018,6/19/2018,
599427,Ace Screen Supply Co.,Manufacturer/Distributor,1020 Hometown St.,,Springfield,OH,45504,United States,www.acescreensupply.com,9375250067,8002223468,1/14/2010,2/6/2017,7/25/2017
608303,Ace Transfer Co.,Manufacturer/Distributor,1017 Hometown St.,,Springfield,OH,45504,United States,http://www.acetransco.com,9373981103,8005253126,4/6/2010,7/25/2017,7/25/2017
276433,ACRO,,40 B Cotters Lane,,East Brunswick,NJ,8816,United States,www.acrobag.ca,7322488830,8887472276,2/15/2007,2/15/2019,6/20/2013
620410,Acti Cameras Inc.,,1108 E. Edna Pl.,,Covina,CA,91724,United States,ACTICAMERAS.COM,6263393669,,8/16/2011,10/30/2016,
285950,Action Engineering,Manufacturer,4761 H Hugh Howell Road,,Tucker,GA,30084-5024,United States,www.actionengineering.com,7709341584,,6/11/2007,,9/5/2012
611066,Action Illustrated,Manufacturer/Distributor,7655 East Redfield Road,Ste. 6,Scottsdale,AZ,85260,United States,www.actionillustrated.com,4807511901,,6/10/2010,1/28/2019,8/11/2016
599431,Active Apparel Inc.,Manufacturer/Distributor,11076 Venture Drive,,Mira Loma,CA,91752,United States,www.activeapparel.com,9513610060,,1/14/2010,7/9/2018,7/9/2018
848440,AD Colour LA,Distributor,1848 West 144th St.,,Gardena,CA,90249,United States,Www.adcolourla.com,8185659672,,6/19/2018,5/13/2019,7/8/2019
65583,Adams Headwear by Whispering Pines,Manufacturer,502 Usher St.,,Pageland,SC,29728,United States,www.wpsportswear.com,8005484710,8005484710,10/15/2004,7/9/2018,7/30/2019
773537,AdCapitol,Manufacturer,1400 Goldmine Road,,Monroe,NC,28111,United States,www.adcapitol.com/,7042832147,8008687111,6/21/2016,5/21/2019,6/21/2019
599436,Adia Capital LLC,Service Provider,1401 Malvern Ave.,,Hot Springs,AR,71913,United States,www.adiacapital.com,5013183623,8667570244,1/14/2010,6/20/2018,7/8/2019
775576,Advanced Barcode & Label Technologies Inc.,,3300 Ponce De Leon Ave.,,Atlanta,GA,30079,United States,ablt.com,8003213653,,7/19/2016,6/14/2019,
599437,Advanced Color Solutions,Distributor,251 Dupont St.,Ste. 101,Corona,CA,92879,United States,www.advancedcolorsolutions.com,9513592000,,1/14/2010,2/9/2010,6/24/2019
599443,Adwear Inc.,,850 South Broadway,Ste. 400,Los Angeles,CA,90014,United States,www.baseballjacket.com,2136292535,,1/14/2010,7/17/2012,
879101,Aeoon North America,Manufacturer,3585 N 124th St.,,Brookfield,WI,53005,United States,https://www.aeoon.com/,8442590731,,6/11/2019,6/11/2019,6/21/2019
700416,AGP e-Solutions,Service Provider,1901 Tiltons Corner Road,,Wall,NJ,7719,United States,http://www.agpesolutions.com,7322821448,8008090719,8/21/2012,9/19/2017,8/21/2015
206777,Albatross USA Inc.,Manufacturer,P.O. Box 6446,,Long Island City,NY,11106-0446,United States,www.albachem.com,7183926272,8002334468,11/3/2005,7/9/2018,8/12/2019
65575,Alegre Fashions Inc.,,2059 W 73rd St.,,Hialeah,FL,33016-1817,United States,www.alegrefashions.com,3058262498,8008356487,10/15/2004,8/28/2006,
764276,All American Custom Embroidery,Manufacturer,P.O. Box 1027,,Middleton,ID,83644-1027,United States,www.aacemb.com,2088009768,,12/29/2015,1/7/2016,7/12/2016
855147,All American Manufacturing & Supplies,,495 E. Erie Ave.,,Philadelphia,PA,19134,United States,www.screenprintsupply.com,2156342235,,11/1/2018,3/19/2019,
355615,All American Supply,Manufacturer/Distributor,495 E. Erie Ave.,,Philadelphia,PA,19134-1104,United States,www.screenprintsupply.com,2156342235,,4/2/2009,3/15/2019,8/12/2016
848425,All Star Emblems Co.,,14071 Peyton Drive,#775,Chino Hills,CA,91709,United States,worldemblems.com,6263167115,,6/19/2018,6/19/2018,
614785,Allied Intl. Inc.,Distributor,64 Blakeslee Ave.,,North Haven,CT,6473,United States,www.alliedi.com,2032393597,,12/17/2010,2/6/2019,6/22/2019
746778,Allureglow USA LLC,Manufacturer/Distributor,9450 7th St.,Unit H,Rancho Cucamonga,CA,91730,United States,https://www.lightwithoutpower.com/Glow_in_the_Dark,8884934569,8884934569,7/6/2015,5/15/2019,6/24/2019
65749,alphabroder,Distributor,6 Neshaminy Interplex Drive,FL 6,Trevose,PA,19053,United States,www.alphabroder.com,2152916140,8005234585,10/15/2004,1/28/2019,7/15/2019
722821,Alstyle Apparel & Activewear,Manufacturer/Distributor,Gildan Activewear SRL,,Newton,Christ Church,BB17047,Barbados,www.alstyle.com,7147650400,8775621499,6/9/2014,1/28/2019,8/17/2017
62346,Alternative Apparel,Manufacturer/Distributor,1650 Indian Brook Way,Ste. 200,Norcross,GA,30093-2683,United States,wholesale.alternativeapparel.com/,8777541008,8777541008,7/29/2004,4/26/2019,7/15/2019
621744,AMAGIC Textile Foils (K Laser USA),Manufacturer,3123 W. MacArthur Blvd.,,Santa Ana,CA,92704,United States,www.amagictextilefoils.com,7148973978,,2/1/2012,6/20/2018,6/20/2018
62290,Amann USA,Manufacturer/Distributor,452 Burbank St.,,Broomfield,CO,80020,United States,www.amannusa.com,3034530771,8886547522,7/29/2004,1/29/2019,6/22/2016
720345,AMBRO Manufacturing,Manufacturer/Distributor,6 Kings Ct.,,Flemington,NJ,8822,United States,www.AMBROmanufacturing.com,9088068337,,1/22/2014,9/28/2016,6/21/2017
306845,AMERICAN AD BAG,Manufacturer,1510 Lamb Road,,Woodstock,IL,60098,United States,www.adbag.com,8153380300,8003826844,6/17/2008,6/20/2018,7/8/2019
65637,American Apparel,Manufacturer/Distributor,Newton Industrial Park,,Christ Church,,BB17047,Barbados,https://www.gildanbrands.com/american-apparel,8774776257,8774776257,10/15/2004,1/23/2019,8/12/2019
765434,American Biltrite Inc - Tape Division,,105 Whittendale Drive,,Moorestown,NJ,8057,United States,www.abitape.com,8567780708,,1/28/2016,12/9/2016,
599465,American Embroidery Supply,Manufacturer/Distributor,947 8th Ave.,,Columbus,GA,31902,United States,www.americanembsupply.com,7063223141,8885186522,1/14/2010,6/20/2018,8/1/2019
763246,American Express Open,,200 Vesey St.,,New York,NY,10285,United States,www.americanexpress.com,2126405574,8004923344,11/9/2015,8/20/2019,
615655,American M&M,Manufacturer/Distributor,4321 North Knox Ave.,,Chicago,IL,60641-1906,United States,www.screenprintmachinery.com,7737777100,,2/28/2011,7/13/2016,7/14/2017
290426,American Needle,,1275 Busch Pkwy.,,Buffalo Grove,IL,60089-4536,United States,shop.americanneedle.com,8472150011,,9/7/2007,1/8/2019,
620404,American Niagara,Manufacturer/Distributor,6690 Jones Mill Ct.,Buildings A & B,Norcross,GA,30092,United States,www.american-niagara.com,7704415900,8002417708,8/16/2011,8/16/2011,7/8/2014
599469,American Screen Printing Equipment,Manufacturer/Distributor,4321 N. Knox Ave.,,Chicago,IL,60641,United States,www.screenprintmachinery.com,7737777100,,1/14/2010,7/13/2016,7/13/2016
623364,American T's,,2531 E McKinley Ave,,Fresno,CA,93703-3010,United States,americantsonline.com,5592335020,,6/12/2012,6/7/2018,
128373,American Ultraviolet Co.,,212 S. Mount Zion Road,,Lebanon,IN,46052-9479,United States,http://www.americanultraviolet.com,7654839514,8002889288,2/14/2002,9/19/2017,
612838,AmeriMadeUSA,Manufacturer,3965 W. 83rd St.,Ste. 301,Prairie Village,KS,66208,United States,www.amerimadeusa.com,9136815672,,8/24/2010,7/5/2018,7/5/2018
879105,Amex SRL,,Viale dello Sport n.12,,Appiano Gentile,,22070,Italy,www.amexsrl.com/,39031931923,,6/11/2019,6/11/2019,
599472,"Amscomatic Inc., an M&R Co.",Manufacturer,1N372 Main St.,,Glen Ellyn,IL,60137-3576,United States,www.mrprint.com,6308586101,8007366431,1/14/2010,2/2/2011,7/7/2015
599474,AnaJet Inc.,Manufacturer/Distributor,1100 Valencia Ave.,,Tustin,CA,92780,United States,www.anajet.com,7146623200,8776262538,1/14/2010,1/29/2019,7/10/2017
722788,Anatol Equipment Mfg. Co.,Manufacturer/Distributor,919 Sherwood Drive,,Lake Bluff,IL,60044,United States,https://anatol.com,8473679760,,6/9/2014,1/29/2019,7/8/2019
599476,Antec Inc.,Manufacturer/Distributor,1820 Broadway St.,,Charlottesville,VA,22902,United States,www.antecinc.com,4349792600,8005526832,1/14/2010,6/21/2018,6/21/2018
829343,Antigua Group,Manufacturer,16651 N 84th Ave.,,Peoria,AZ,85382,United States,http://corporate.antigua.com,8776101444,,6/16/2017,9/7/2017,6/21/2017
65498,anvil,Manufacturer,Gildan Activewear SRL,Newton,Christ Church,,BB17047,Barbados,www.anvilknitwear.com,2463674000,8774453265,10/15/2004,1/23/2019,7/13/2015
780006,AP Lazer,,1709 Thompson St.,Ste. 311,Lansing,MI,48906,United States,aplazer.com,8004492481,,8/26/2016,7/12/2018,
599477,APB Accessories,Manufacturer/Distributor,1200 Woodruff Road,Unit A-15,Greenville,SC,29607,United States,www.apbacc.com,8642134454,8668651444,1/14/2010,6/7/2018,7/28/2016
608561,Apex,Manufacturer/Distributor,6361 Sunfish Lake Ct. NW,#300,Ramsey,MN,55303,United States,www.apexemb.net,7632414634,8779357766,4/9/2010,6/7/2018,6/25/2014
879037,Apex Transfers,,9785 Gateway Rd NW,,Elk River,MN,55330,United States,https://www.apextransfers.com/,8779357766,,6/5/2019,6/5/2019,
773569,Aprons Etc.,Manufacturer/Distributor,9 Ellwood Ct.,,Greenville,SC,29607,United States,http://www.shop.apronsetc.com,8642819293,8004671996,6/21/2016,2/9/2018,7/10/2017
204764,Arrowear Athletic Apparel,,325 Hendrickson Ave.,,Lynbrook,NY,11563-1055,United States,www.arrowear.com,5165937800,8882769327,10/20/2005,12/3/2010,
774332,AS Colour,,1450 Charles Willard St.,,Carson,CA,90746,United States,www.ascolour.com/,2132135531,,7/19/2016,7/19/2016,
848432,ASA Print Technologies,,23986 Aliso Creek Road,#542,Laguna Niguel,CA,92677,United States,asapt.net,3233532000,,6/19/2018,6/19/2018,
773570,ASAP Printing,Manufacturer,643 Billinis Road,,Salt Lake City,UT,84119,United States,www.asapprintingcorp.com,8887272863,,6/21/2016,,6/25/2019
722819,ASPE Inc.,Manufacturer,42295 Avenida Alvarado,#Unit 5,Temecula,CA,92590,United States,www.aspesite.com,9512962595,,6/9/2014,6/7/2018,7/21/2014
773625,AST Sports,,9749 Hart Blvd.,,Monticello,MN,55362,United States,www.astsportsinc.com,8558818527,,6/21/2016,1/29/2019,
722758,ASW Jackets,,2943 E State Hwy. 10,,Booneville,AR,72927,United States,aswjackets.net,4173276199,,6/9/2014,1/8/2019,
204905,Athletic Knit,Manufacturer,2 Scarlett Road,,Toronto,ON,M6N 4J6,Canada,www.athleticknit.com,4167666151,8888185648,10/20/2005,6/20/2018,6/20/2018
774153,Athlon Athletics,,927 North Marietta St.,,Gastonia,NC,28054 - 7302,United States,athlonathletics.com,7048421946,,7/13/2016,7/13/2016,
76008,Atlantic Coast Cotton,Distributor,14251 John Marshall Hwy.,,Gainesville,VA,20155-1607,United States,www.orderacc.com,7037537000,8002625660,2/1/2005,8/13/2018,8/13/2018
599504,Atlas Screen Supply Co.,Distributor,9353 Seymour Ave.,,Schiller Park,IL,60176,United States,http://www.atlasscreensupply.com,8472330515,8006214173,1/14/2010,10/31/2018,7/11/2013
722746,ATT Headwear,,13221 Spring St.,,Baldwin Park,CA,91761,United States,www.attheadwear.com,3235850550,,6/9/2014,1/8/2019,
204727,Augusta Sportswear,Manufacturer,425 Park West Drive,,Grovetown,GA,30813-3214,United States,www.augustasportswear.com,7068604633,8002376695,10/20/2005,8/1/2019,8/3/2018
599511,AW Wholesalers Inc.,Manufacturer/Distributor,8309 Grand Messina Circle,,Boynton Beach,FL,33472,United States,www.aw-wholesalers.com,9545408492,8007303267,1/14/2010,8/17/2018,8/17/2018
829355,AWDis/Citadel Brands,Manufacturer/Distributor,5639 Brookshire Blvd.,Unit C,Charlotte,NC,28216,United States,Www.citadelbrands.com,8002291240,8002291240,6/16/2017,6/20/2018,7/1/2019
848434,Axiland LLC,,853 Maple Ave.,,Los Angeles,CA,90015,United States,axiland.com,833AXILAND,,6/19/2018,6/19/2018,
623217,Axiom America LLC,Distributor,1110 Surrett Drive,,High Point,NC,27260,United States,www.axiomamerica.com,3368828729,8006976523,6/12/2012,8/3/2018,8/3/2018
765475,AXYZ Automation Inc.,,5330 S. Service Road,,Burlington,ON,L7L 5L1,Canada,www.axyz.com,9056344940,8003613408,1/28/2016,9/19/2017,
848431,B-Flex America LLC,Manufacturer/Distributor,454 Columbia Industrial Blvd.,Unit 3,Evans,GA,30809,United States,b-flexamerica.com,7062545029,,6/19/2018,1/24/2019,6/20/2018
290545,Baby Jay,Manufacturer/Distributor,207 2nd St.,,Lakewood,NJ,08701-3326,United States,www.babyjay.com,7329054980,,9/7/2007,1/8/2019,7/14/2014
600228,Baby Lock,Distributor,1760 Gilsinn Lane,,Fenton,MO,63026,United States,www.babylock.com,8002988810,,1/14/2010,9/22/2010,7/10/2017
599515,"Baby Needs, Inc./Elegant Baby",Manufacturer,P.O. Drawer 2197,605 Cameron St.,Burlington,NC,27216-2197,United States,www.elegantbaby.com,8006725313,8003345321,1/14/2010,7/5/2018,6/24/2019
879077,Backpacker Apparel,,209 W. 38th St.,,New York,NY,10018,United States,https://www.backpackerapparel.com,2122216060,,6/10/2019,6/10/2019,
243087,Badge-A-Minit,Manufacturer/Distributor,345 N. Lewis Ave.,,Oglesby,IL,61348,United States,www.badgeaminit.com,8158838822,8002234103,7/27/2006,7/27/2012,7/8/2014
204894,Badger Sportswear,,850 Meacham Road,,Statesville,NC,28677-2982,United States,www.badgersportswear.com,7048710999,8008650105,10/20/2005,9/1/2016,
845613,BAGPRO,,12081 Katy Road,Ste. 809,Fort Worth,TX,76244,United States,www.bagpro.com/usa,6822247301,,5/14/2018,5/24/2018,
599691,BAGWORLD,Manufacturer,12336 Ramona Blvd.,,EL Monte,CA,91732,United States,www.bagworldpromo.com,6262791583,18889292247,1/14/2010,7/9/2018,7/15/2019
599522,Balboa Threadworks Embroidery Design,Manufacturer,42335 Washington St.,Ste. F 404,Palm Desert,CA,92211,United States,www.balboastitch.com,8004458705,,1/14/2010,6/12/2017,7/14/2014
599525,"Bandanna Warehouse, div. of Springs Creative",Manufacturer,7025 Augusta Road,,Greenville,SC,29605,United States,www.bandannawarehouse.com,8008493322,8008493322,1/14/2010,6/26/2018,6/26/2018
204914,Barbarian Sports Wear Inc.,Manufacturer,575 Trillium Drive,,Kitchener,ON,N2R 1J9,Canada,www.barbarian.com,5198951932,8004651139,10/20/2005,2/4/2019,6/24/2019
599528,Barber & Co.,Manufacturer,204 Thomas St.,,Odum,GA,31555,United States,www.barberandcompany.com,9125866747,8004483061,1/14/2010,1/23/2019,6/21/2019
283158,Barudan America Inc.,Manufacturer,30901 Carter St.,Ste. A,Solon,OH,44139,United States,http://www.barudanamerica.com,4402488770,8006274776,4/16/2007,5/1/2019,8/3/2018
599533,BAW Athletic Wear LP,Manufacturer/Distributor,5017 E. 5th St.,,Katy,TX,77493,United States,www.bawonline.com,2813913335,8004933745,1/14/2010,8/2/2011,6/24/2015
599534,Bay Island Sportswear,Manufacturer,225 N.W. 72 Bypass,Ste. C,Greenwood,SC,29649,United States,www.bayislandsportswear.com,8642291298,,1/14/2010,,6/21/2012
197960,Bayside Made in America / AST Sportswear,Manufacturer/Distributor,2701 E. Imperial Hwy.2701 E. Imperial Hwy.2701 E. Imperial Hwy.2701 E. Imperial Hwy.2701 E. Imperial Hwy.2701 E. Imperial Hwy.2701 E. Imperial Hwy.2701 E. Imperial Hwy.2701 E. Imperial Hwy.2701 E. Imperial Hwy.2701 E. Imperial Hwy.2701 E. Imperial Hwy.2701 E. Imperial Hwy.2701 E. Imperial Hwy.2701 E. Imperial Hwy.2701 E. Imperial Hwy.2701 E. Imperial Hwy.2701 E. Imperial Hwy.2701 E. Imperial Hwy.2701 E. Imperial Hwy.2701 E. Imperial Hwy.2701 E. Imperial Hwy.2701 E. Imperial Hwy.2701 E. Imperial Hwy.2701 E. Imperial Hwy.2701 E. Imperial Hwy.2701 E. Imperial Hwy.2701 E. Imperial Hwy.2701 E. Imperial Hwy.2701 E. Imperial Hwy.2701 E. Imperial Hwy.2701 E. Imperial Hwy.2701 E. Imperial Hwy.2701 E. Imperial Hwy.2701 E. Imperial Hwy.2701 E. Imperial Hwy.2701 E. Imperial Hwy.2701 E. Imperial Hwy.2701 E. Imperial Hwy.2701 E. Imperial Hwy.2701 E. Imperial Hwy.2701 E. Imperial Hwy.2701 E. Imperial Hwy.2701 E. Imperial Hwy.2701 E. Imperial Hwy.2701 E. Imperial Hwy.2701 E. Imperial Hwy.2701 E. Imperial Hwy.2701 E. Imperial Hwy.2701 E. Imperial Hwy.,,BREA,CA,92821,United States,www.astsportswear.com,7142232030,8003799969,9/26/2005,6/20/2018,6/20/2018
599432,BazaarLine,Manufacturer,4340 Bankers Circle,,Atlanta,GA,30360,United States,www.bazaarline.com/,8442429995,8884472441,1/14/2010,1/28/2019,6/21/2017
599536,Beacon Funding Corp.,Service Provider,3400 Dundee Road,Suite 180,Northbrook,IL,60062,United States,www.beaconfunding.com,8472916494,8008666396,1/14/2010,8/12/2016,7/14/2014
765484,Beaver Paper & Graphic Media Inc.,Manufacturer/Distributor,2420 Tech Center Pkwy.,Bldg 140,Lawrenceville,GA,30043,United States,http://www.beaverpaper.com,7709355080,8007682700,1/28/2016,9/6/2018,7/6/2017
599541,Beimar Inc.,Manufacturer/Distributor,2050 S. Baker Ave.,,Ontario,CA,91761,United States,www.beimar.com,9093908088,8772346271,1/14/2010,7/9/2018,7/9/2018
599828,Bel Promo,Manufacturer,12610 N.W. 115th Ave.,Bldg 200,Medley,FL,33178,United States,www.belpromo.com,3055938728,,1/14/2010,1/29/2019,6/22/2016
123758,BELLA+CANVAS,Manufacturer/Distributor,6670 Flotilla St.,,Los Angeles,CA,90040,United States,www.bellacanvas.com/,3237272005,,6/3/2005,8/20/2018,7/15/2019
623223,BelQuette Inc.,Manufacturer/Distributor,3634 131st Ave. North,,Clearwater,FL,33762,United States,www.belquette.com,7278260900,8772020886,6/12/2012,2/14/2014,7/10/2017
611443,Berne Apparel,Manufacturer,2501 East 850 North,,Ossian,IN,46777,United States,www.bernepromo.com,8008437657,,6/30/2010,1/8/2019,6/23/2017
777229,Best Heat Transfers,Manufacturer,5135 US Hwy 19 N,STE 103,New Port Richey,FL,34652,United States,http://www.bestheattransfers.com,7279472877,,8/17/2016,2/6/2018,6/21/2017
599546,BESTBLANKS,Distributor,1930 North 30TH Road,,Hollywood,FL,33021,United States,www.bestblanks.com,9549891250,8884317385,1/14/2010,6/20/2018,6/20/2018
140977,Biesse America,,PO Box 19849,4110 Meadow Oak Drive (28208),Charlotte,NC,28219-0849,United States,www.biesseamerica.com,7043573131,,7/21/2005,5/27/2016,
599548,Big Accessories,Manufacturer/Distributor,2180 S. McDowell Blvd,,Petaluma,CA,94954,United States,www.bigaccessories.com/,7077661702,8008068222,1/14/2010,6/20/2019,7/8/2019
65911,BIG HEAD CAPS CO.,Distributor,2159 Thompson Lane,Ste. B-3,Murfreesboro,TN,37129,United States,www.bigheadcaps.com,6158901018,8882444323,10/15/2004,8/27/2018,6/21/2019
773370,Big Toor and Sons,Manufacturer/Distributor,"Nehal Garh, Head Marala-51200",,Sialkot,,51200,Pakistan,bigbenfashion.com,923236131947,,6/21/2016,6/21/2016,7/13/2016
848422,BiHong Printing Machinery Co. Ltd.,,Songqiao Industrial Zone,Wanquan Town,Pingyang County,Wenzhou,Zhejiang,China,bhprinter.com,8657780390888,,6/19/2018,6/19/2018,
62122,BITO,Distributor,20 Reith St.,,Copiague,NY,11726,United States,www.bitousa.com,6319409796,866BITOUSA,7/29/2004,7/19/2012,6/25/2019
599551,Black Body/BBC Industries,Manufacturer,5 Capper Drive,,Pacific,MO,63069,United States,www.bbcind.com,6363435600,,1/14/2010,2/8/2012,8/14/2014
616686,Blaine’s Sewing Machine Center,,1280 Oaklawn Ave.,,Cranston,RI,02920-2628,United States,blainesewing.net,4014638824,,6/6/2011,6/12/2018,
616687,Blanks Plus,Service Provider,947 S Alameda St.,Unit A,Los Angeles,CA,90021,United States,http://www.blanksplus.net,2136290006,8775770006,6/6/2011,2/6/2017,8/15/2016
848414,Blazers R Us,Manufacturer,234 9th St.,,Braddock,PA,15104,United States,blazers-r-us.com,4122733417,,6/19/2018,6/19/2018,7/21/2019
354714,Boca Terry,Manufacturer,3000 S.W. 15th St.,Ste. H,Deerfield Beach,FL,33442,United States,www.bocaterry.com,9543124406,8774216001,1/27/2009,2/4/2019,7/8/2019
765337,Bordeaux Digital Inc.,,1600 Wyatt Drive,Ste. #3,Santa Clara,CA,95054,United States,http://www.c-m-y-k.com,4082472205,,1/28/2016,2/12/2018,
599563,Bowling Wear,,850 South Broadway,Ste. 400,Los Angeles,CA,90014,United States,www.BowlingWear.com,2136890159,,1/14/2010,9/22/2010,
61908,Boxercraft,Manufacturer/Distributor,7131 Discovery Blvd.,,Mableton,GA,30126,United States,wholesale.boxercraft.com,4043559994,8009147774,7/29/2004,6/7/2019,7/15/2019
268373,Branded Emblem,Manufacturer/Distributor,7920 Foster,,Overland Park,KS,66204-3688,United States,www.brandedemblem.com,9136487920,8007477920,11/2/2006,8/28/2018,7/14/2011
601775,Bravo Enterprise,Manufacturer,17732 Highland Road ,#201,Baton Rogue,LA,70810,United States,www.bravo-enterprise.com,2256120704,,2/12/2010,7/11/2018,7/11/2018
767744,Bright Shield,,PO Box 711,2075 Stultz Road,Martinsville,VA,24112-0711,United States,http://www.bright-shield.com,2766387101,8002477879,4/26/2016,2/9/2017,
65624,Brook Textiles,Distributor,100 West 28th St.,,Chattanooga,TN,37408,United States,www.brooktextiles.com,4236244444,8002516049,10/15/2004,2/9/2016,6/22/2016
773563,Brother Home Appliance Division,,100 Somerset Corporate Blvd.,,Bridgewater,NJ,8807,United States,www.brother.com,,,6/21/2016,12/21/2018,
62283,Brother Intl. Corp.,Manufacturer,200 Crossing Blvd.,,Bridgewater,NJ,08807-2850,United States,www.BrotherDTG.com,8667502543,,7/29/2004,6/20/2018,8/13/2019
599570,Brown Mfg. Group,Manufacturer,4661 Stafford Ave. SW,,Wyoming,MI,49548,United States,www.brownmfg.net,6162490200,,1/14/2010,6/26/2018,6/25/2019
765405,Budget Inks,Manufacturer/Distributor,45 S Public Sq,,Angola,OH,36703,United States,www.budget-inks.com,2603194495,8776364657,1/28/2016,,7/8/2019
599572,Budget T-Shirt Co.,,25 West 8th Ave.,,Vancouver,BC,V5Y 1M8,Canada,www.budget-t.com,6048741800,,1/14/2010,1/26/2016,
599574,BuildYourJacket.com,Manufacturer/Distributor,4647 West 9940 North,,Cedar Hills,UT,84062,United States,buildyourjacket.com,9166601618,,1/14/2010,2/1/2011,6/24/2019
214522,Bumkins Finer Baby Products,,7802 East Gray Road ,#500,Scottsdale,AZ,85260-3494,United States,www.bumkins.com,4804813618,8662865467,12/15/2005,2/13/2014,7/13/2011
65641,Burnside/Sierra Pacific Apparel,Manufacturer,6300 West Loop South,Ste. 100,Bellaire,TX,77401,United States,https://www.sierrapacificapparel.com,7136884455,,10/15/2004,2/4/2019,7/8/2019
599576,Buyers Trading,,316 East 11th St.,,Tulsa,OK,74120,United States,www.buyerstrading.com,9185925477,8662843393,1/14/2010,11/23/2010,6/23/2011
